state_name,total_billions
ALABAMA,3
ALASKA,3.7
AMERICAN SAMOA,0.0686
ARIZONA,3.5
ARKANSAS,2.8
CALIFORNIA,18.4
COLORADO,3.2
CONNECTICUT,2.5
DELEWARE,0.792
DISTRICT OF COLUMBIA,1.1
FLORIDA,8.2
GEORGIA,5
GUAM,0.1426
HAWAII,1
IDAHO,1.2
ILLINOIS,8.4
INDIANA,3.4
IOWA,2.4
KANSAS,1.5
KENTUCKY,3.9
LOUISIANA,4.3
MAINE,1.1
MARYLAND,2.7
MASSACHUSETTS,3.6
MICHIGAN,5.2
MINNESOTA,2.7
MISSISSIPPI,2.3
MISSOURI,3.8
MONTANA,3.3
NEBRASKA,1.3
NEVADA,1.7
NEW HAMPSHIRE,0.7518
NEW JERSEY,5.1
NEW MEXICO,2.6
NEW YORK,10.1
NORTH CAROLINA,4.5
NORTH DAKOTA,1.8
NORTHERN MARIANA ISLANDS,0.0833
OHIO,6.6
OKLAHOMA,2.9
OREGON,2.3
PENNSYLVANIA,8.1
PUERTO RICO,0.9937
RHODE ISLAND,1.1
SOUTH CAROLINA,2.3
SOUTH DAKOTA,1.3
TENNESSEE,3.7
TEXAS,14.2
TRIBAL COMMUNITIES,3
US VIRGIN ISLANDS,0.1483
UTAH,1.8
VERMONT,0.8521
VIRGINIA,4.5
WASHINGTON,4
WEST VIRGINIA,2
WISCONSIN,2.8
WYOMING,2.3
