state,fiscal_year,pop
AK,2017,739700
AK,2018,735139
AK,2019,731545
AK,2020,733017
AK,2021,734420
AK,2022,734442
AK,2023,736510
AK,2024,740133
AL,2017,4874486
AL,2018,4887681
AL,2019,4903185
AL,2020,5033094
AL,2021,5049196
AL,2022,5076181
AL,2023,5117673
AL,2024,5157699
AR,2017,3001345
AR,2018,3009733
AR,2019,3017804
AR,2020,3014546
AR,2021,3026870
AR,2022,3047704
AR,2023,3069463
AR,2024,3088354
AZ,2017,7044008
AZ,2018,7158024
AZ,2019,7278717
AZ,2020,7187135
AZ,2021,7274078
AZ,2022,7377566
AZ,2023,7473027
AZ,2024,7582384
CA,2017,39358497
CA,2018,39461588
CA,2019,39512223
CA,2020,39521958
CA,2021,39142565
CA,2022,39142414
CA,2023,39198693
CA,2024,39431263
CO,2017,5611885
CO,2018,5691287
CO,2019,5758736
CO,2020,5787129
CO,2021,5814036
CO,2022,5850935
CO,2023,5901339
CO,2024,5957493
CT,2017,3573297
CT,2018,3571520
CT,2019,3565287
CT,2020,3579918
CT,2021,3606607
CT,2022,3617925
CT,2023,3643023
CT,2024,3675069
DC,2017,694906
DC,2018,701547
DC,2019,705749
DC,2020,670917
DC,2021,669256
DC,2022,676725
DC,2023,687324
DC,2024,702250
DE,2017,956823
DE,2018,965479
DE,2019,973764
DE,2020,991928
DE,2021,1005062
DE,2022,1020625
DE,2023,1036423
DE,2024,1051917
FL,2017,20963613
FL,2018,21244317
FL,2019,21477737
FL,2020,21592035
FL,2021,21831949
FL,2022,22379312
FL,2023,22904868
FL,2024,23372215
GA,2017,10410330
GA,2018,10511131
GA,2019,10617423
GA,2020,10732888
GA,2021,10792060
GA,2022,10931805
GA,2023,11064432
GA,2024,11180878
HI,2017,1424393
HI,2018,1420593
HI,2019,1415872
HI,2020,1451252
HI,2021,1447029
HI,2022,1440359
HI,2023,1441387
HI,2024,1446146
IA,2017,3141550
IA,2018,3148618
IA,2019,3155070
IA,2020,3191141
IA,2021,3198613
IA,2022,3202820
IA,2023,3218414
IA,2024,3241488
ID,2017,1717715
ID,2018,1750536
ID,2019,1787065
ID,2020,1849415
ID,2021,1904848
ID,2022,1944299
ID,2023,1971122
ID,2024,2001619
IL,2017,12778828
IL,2018,12723071
IL,2019,12671821
IL,2020,12799088
IL,2021,12700641
IL,2022,12621821
IL,2023,12642259
IL,2024,12710158
IN,2017,6658078
IN,2018,6695497
IN,2019,6732219
IN,2020,6790497
IN,2021,6815907
IN,2022,6844545
IN,2023,6880131
IN,2024,6924275
KS,2017,2908718
KS,2018,2911359
KS,2019,2913314
KS,2020,2938172
KS,2021,2938338
KS,2022,2937324
KS,2023,2951500
KS,2024,2970606
KY,2017,4452268
KY,2018,4461153
KY,2019,4467673
KY,2020,4508318
KY,2021,4507583
KY,2022,4519233
KY,2023,4550595
KY,2024,4588372
LA,2017,4670560
LA,2018,4659690
LA,2019,4648794
LA,2020,4652301
LA,2021,4627971
LA,2022,4593687
LA,2023,4588071
LA,2024,4597740
MA,2017,6859789
MA,2018,6882635
MA,2019,6892503
MA,2020,6994598
MA,2021,7000474
MA,2022,7022468
MA,2023,7066568
MA,2024,7136171
MD,2017,6023868
MD,2018,6035802
MD,2019,6045680
MD,2020,6177935
MD,2021,6179403
MD,2022,6192440
MD,2023,6217062
MD,2024,6263220
ME,2017,1334612
ME,2018,1339057
ME,2019,1344212
ME,2020,1364571
ME,2021,1378931
ME,2022,1390922
ME,2023,1399646
ME,2024,1405012
MI,2017,9973114
MI,2018,9984072
MI,2019,9986857
MI,2020,10072703
MI,2021,10041351
MI,2022,10050877
MI,2023,10083356
MI,2024,10140459
MN,2017,5566230
MN,2018,5606249
MN,2019,5639632
MN,2020,5710735
MN,2021,5718660
MN,2022,5721621
MN,2023,5753048
MN,2024,5793151
MO,2017,6106670
MO,2018,6121623
MO,2019,6137428
MO,2020,6154744
MO,2021,6171374
MO,2022,6179414
MO,2023,6208038
MO,2024,6245466
MS,2017,2988510
MS,2018,2981020
MS,2019,2976149
MS,2020,2958536
MS,2021,2947209
MS,2022,2941939
MS,2023,2943172
MS,2024,2943045
MT,2017,1052482
MT,2018,1060665
MT,2019,1068778
MT,2020,1087230
MT,2021,1106522
MT,2022,1122095
MT,2023,1131302
MT,2024,1137233
NC,2017,10268233
NC,2018,10381615
NC,2019,10488084
NC,2020,10449652
NC,2021,10564320
NC,2022,10710793
NC,2023,10881189
NC,2024,11046024
ND,2017,754942
ND,2018,758080
ND,2019,762062
ND,2020,779563
ND,2021,777966
ND,2022,781057
ND,2023,789047
ND,2024,796568
NE,2017,1915947
NE,2018,1925614
NE,2019,1934408
NE,2020,1963387
NE,2021,1964537
NE,2022,1972246
NE,2023,1987864
NE,2024,2005465
NH,2017,1348787
NH,2018,1353465
NH,2019,1359711
NH,2020,1378756
NH,2021,1387677
NH,2022,1396678
NH,2023,1402199
NH,2024,1409032
NJ,2017,8885525
NJ,2018,8886025
NJ,2019,8882190
NJ,2020,9272794
NJ,2021,9270541
NJ,2022,9295227
NJ,2023,9379642
NJ,2024,9500851
NM,2017,2091784
NM,2018,2092741
NM,2019,2096829
NM,2020,2118606
NM,2021,2117333
NM,2022,2113868
NM,2023,2121164
NM,2024,2130256
NV,2017,2969905
NV,2018,3027341
NV,2019,3080156
NV,2020,3116967
NV,2021,3148141
NV,2022,3176116
NV,2023,3214363
NV,2024,3267467
NY,2017,19589572
NY,2018,19530351
NY,2019,19453561
NY,2020,20105171
NY,2021,19848276
NY,2022,19703747
NY,2023,19737367
NY,2024,19867248
OH,2017,11659650
OH,2018,11676341
OH,2019,11689100
OH,2020,11798905
OH,2021,11767344
OH,2022,11777874
OH,2023,11824034
OH,2024,11883304
OK,2017,3931316
OK,2018,3940235
OK,2019,3956971
OK,2020,3965415
OK,2021,3992238
OK,2022,4026229
OK,2023,4063882
OK,2024,4095393
OR,2017,4143625
OR,2018,4181886
OR,2019,4217737
OR,2020,4243779
OR,2021,4254280
OR,2022,4247372
OR,2023,4253653
OR,2024,4272371
PA,2017,12787641
PA,2018,12800922
PA,2019,12801989
PA,2020,12996143
PA,2021,13015571
PA,2022,12984990
PA,2023,13017721
PA,2024,13078751
RI,2017,1055673
RI,2018,1058287
RI,2019,1059361
RI,2020,1096530
RI,2021,1097246
RI,2022,1099498
RI,2023,1103429
RI,2024,1112308
SC,2017,5021268
SC,2018,5084156
SC,2019,5148714
SC,2020,5132249
SC,2021,5194274
SC,2022,5287935
SC,2023,5387830
SC,2024,5478831
SD,2017,872868
SD,2018,878698
SD,2019,884659
SD,2020,887948
SD,2021,896492
SD,2022,909723
SD,2023,918305
SD,2024,924669
TN,2017,6708799
TN,2018,6771631
TN,2019,6829174
TN,2020,6927904
TN,2021,6965740
TN,2022,7062217
TN,2023,7148304
TN,2024,7227750
TX,2017,28295273
TX,2018,28628666
TX,2019,28995881
TX,2020,29239570
TX,2021,29570351
TX,2022,30113488
TX,2023,30727890
TX,2024,31290831
UT,2017,3101042
UT,2018,3153550
UT,2019,3205958
UT,2020,3284077
UT,2021,3339738
UT,2022,3391011
UT,2023,3443222
UT,2024,3503613
VA,2017,8463587
VA,2018,8501286
VA,2019,8535519
VA,2020,8637615
VA,2021,8658910
VA,2022,8683414
VA,2023,8734685
VA,2024,8811195
VT,2017,624344
VT,2018,624358
VT,2019,623989
VT,2020,642977
VT,2021,647210
VT,2022,648142
VT,2023,648708
VT,2024,648493
WA,2017,7423362
WA,2018,7523869
WA,2019,7614893
WA,2020,7727209
WA,2021,7743760
WA,2022,7794123
WA,2023,7857320
WA,2024,7958180
WI,2017,5790186
WI,2018,5807406
WI,2019,5822434
WI,2020,5897375
WI,2021,5881608
WI,2022,5903975
WI,2023,5930405
WI,2024,5960975
WV,2017,1817004
WV,2018,1804291
WV,2019,1792147
WV,2020,1791646
WV,2021,1785618
WV,2022,1774122
WV,2023,1770495
WV,2024,1769979
WY,2017,578931
WY,2018,577601
WY,2019,578759
WY,2020,577681
WY,2021,579636
WY,2022,581978
WY,2023,585067
WY,2024,587618
