year,temp_anomaly,tornado_count,tornado_injuries,tornado_deaths,tornado_damage
1950,-0.17,223,659,70,0.0
1951,-0.07,269,524,34,0.0
1952,0.01,272,1916,231,0.0
1953,0.08,492,5131,519,0.0
1954,-0.13,609,715,36,0.0
1955,-0.14,1413,926,129,0.0
1956,-0.19,1703,1355,83,0.0
1957,0.05,2184,1976,193,0.0
1958,0.06,2213,535,67,0.0
1959,0.03,1813,734,58,0.0
1960,-0.02,1945,737,46,0.0
1961,0.06,2246,1087,52,0.0
1962,0.03,2389,551,30,0.0
1963,0.05,1968,538,31,0.0
1964,-0.2,2348,1148,73,0.0
1965,-0.11,2835,5197,301,0.0
1966,-0.06,2388,2030,98,0.0
1967,-0.02,2688,2144,114,0.0
1968,-0.08,3312,2522,131,0.0
1969,0.05,2926,1311,66,0.0
1970,0.03,3215,1355,73,0.0
1971,-0.08,3471,2723,159,0.0
1972,0.01,2171,1027,34,0.0
1973,0.16,4453,2402,89,0.0
1974,-0.07,5375,6824,366,0.0
1975,-0.01,4975,1457,60,0.0
1976,-0.1,3768,1195,44,0.0
1977,0.18,3728,771,43,0.0
1978,0.07,3657,919,53,0.0
1979,0.16,4279,3014,84,0.0
1980,0.25,6136,1157,28,0.0
1981,0.32,4517,798,24,0.0
1982,0.14,7126,1276,64,0.0
1983,0.31,8322,816,37,0.0
1984,0.15,7335,2858,160,0.0
1985,0.12,15958,3026,224,0.0
1986,0.18,8725,915,51,0.0
1987,0.32,7363,1416,89,0.0
1988,0.39,7257,1030,55,0.0
1989,0.27,10407,1675,79,0.0
1990,0.45,10945,1825,95,0.0
1991,0.4,12516,1355,73,0.0
1992,0.22,27068,3508,108,0.0
1993,0.23,8664,989,69,52.0
1994,0.31,15627,1169,63,2483.5
1995,0.44,20464,1853,78,64988.2
1996,0.33,48534,2700,522,0.0
1997,0.46,41991,3791,600,0.0
1998,0.61,50973,11139,685,0.0
1999,0.38,46383,5144,907,0.0
2000,0.39,52007,2803,477,0.0
2001,0.53,48875,2721,469,0.0
2002,0.62,50936,3155,498,0.0
2003,0.61,52956,2931,443,0.0
2004,0.53,52409,2426,370,0.0
2005,0.68,53976,1834,1451,0.0
2006,0.64,56400,3485,607,0.0
2007,0.66,59011,3688,523,0.0
2008,0.54,71190,2905,572,4000000.0
2009,0.65,57398,1875,374,0.0
2010,0.72,62809,2374,491,5005000.0
2011,0.61,79091,8859,1096,0.0
2012,0.64,64503,2652,537,0.0
2013,0.67,59986,2767,448,85000.0
2014,0.75,118950,4410,778,0.0
2015,0.89,57907,2173,537,70000.0
2016,1.01,56005,1281,463,0.0
2017,0.91,57041,1212,491,0.0
2018,0.85,62699,1645,730,0.0
2019,0.98,67864,1236,534,0.0
2020,1.01,61281,1426,756,0.0
2021,0.85,61389,1431,987,0.0
2022,0.89,139774,2402,1750,0.0
2024,1.28,69801,1422,773,0.0
2025,1.19,72241,1022,628,0.0
